customer_id,trans_date,tran_amount
FM5295,2017-11-11,35
FM4768,2019-12-15,39
FM2122,2017-11-26,52
FM1217,2016-08-16,99
FM1850,2018-08-20,78
FM5539,2018-12-26,81
FM2724,2016-11-06,93
FM5902,2019-10-30,89
FM6040,2017-10-08,76
FM3802,2018-05-20,75
FM3494,2018-04-02,94
FM3780,2017-12-25,80
FM1171,2017-08-03,59
FM2892,2018-02-12,43
FM5552,2019-09-29,78
FM6043,2018-10-15,98
FM4147,2018-04-08,81
FM4655,2018-09-30,93
FM3904,2019-04-20,103
FM4102,2016-04-09,96
FM2086,2017-12-05,75
FM6085,2017-10-09,49
FM1328,2017-11-06,54
FM4564,2016-12-27,48
FM5910,2016-10-01,98
FM2748,2017-12-23,37
FM5147,2018-01-29,72
FM1770,2017-08-02,83
FM3510,2016-07-24,81
FM2509,2016-09-05,105
FM2859,2019-11-27,77
FM1512,2019-11-21,71
FM4148,2018-05-22,48
FM1735,2016-12-30,70
FM1588,2016-10-27,70
FM5514,2017-10-09,36
FM5933,2018-07-07,48
FM2797,2018-12-06,87
FM5313,2017-09-02,88
FM5966,2016-12-09,39
FM5211,2019-02-18,51
FM1511,2019-10-13,47
FM6087,2019-08-24,37
FM5909,2016-11-04,80
FM2845,2017-12-08,105
FM1433,2017-08-05,78
FM4897,2019-01-12,45
FM2296,2017-09-28,79
FM1494,2018-03-29,59
FM3688,2019-03-19,55
FM2287,2016-09-23,94
FM3779,2016-03-26,69
FM1423,2019-03-05,78
FM2501,2017-08-14,59
FM3434,2017-11-22,98
FM2662,2019-05-28,88
FM2209,2016-12-12,35
FM4530,2016-03-05,40
FM2848,2017-11-04,53
FM2596,2016-06-19,55
FM4421,2017-02-20,86
FM4905,2017-01-13,93
FM5704,2016-09-04,79
FM2403,2019-04-27,94
FM5480,2016-10-28,63
FM5811,2018-05-23,91
FM2051,2019-09-09,101
FM3957,2017-05-28,69
FM4704,2019-08-25,41
FM2289,2017-02-19,67
FM5218,2019-03-21,45
FM4637,2016-02-20,71
FM3158,2017-02-06,91
FM4176,2017-04-30,49
FM1939,2016-08-25,101
FM5403,2016-09-01,64
FM5489,2019-09-02,77
FM4563,2016-02-29,101
FM3508,2017-02-23,67
FM2703,2019-07-12,40
FM2596,2018-02-01,76
FM5990,2017-07-19,103
FM4215,2016-04-09,54
FM4811,2016-10-26,77
FM2070,2017-10-30,41
FM3419,2019-10-29,38
FM3668,2019-05-14,102
FM4623,2018-06-27,89
FM4708,2018-04-02,48
FM1816,2018-06-22,64
FM5376,2018-09-08,44
FM4568,2016-08-15,70
FM1779,2016-10-27,53
FM2447,2016-04-10,82
FM1985,2016-05-16,87
FM2544,2016-08-07,64
FM2158,2017-06-11,89
FM5776,2019-06-09,87
FM5653,2018-06-04,98
FM2291,2019-07-15,67
FM6088,2017-07-29,48
FM4245,2019-03-02,102
FM3344,2019-04-02,56
FM1481,2018-09-23,50
FM5400,2016-09-23,56
FM5463,2019-05-27,91
FM5951,2019-05-07,104
FM5515,2016-11-19,41
FM3039,2017-02-01,92
FM1836,2016-12-24,63
FM4320,2019-01-09,52
FM4889,2016-09-01,38
FM1319,2016-06-26,95
FM4859,2019-10-07,50
FM4148,2018-11-08,40
FM5264,2018-01-03,81
FM4041,2019-09-29,49
FM2183,2017-10-04,39
FM2516,2019-11-15,55
FM1890,2017-08-03,37
FM3730,2017-11-11,89
FM5382,2017-12-07,48
FM5970,2019-03-13,40
FM5260,2019-10-30,46
FM2437,2016-08-13,90
FM4675,2016-06-11,67
FM2920,2016-07-11,87
FM2548,2018-06-28,73
FM1818,2016-09-26,46
FM6098,2017-06-28,42
FM2712,2016-09-26,65
FM2714,2016-09-14,69
FM2615,2018-05-17,39
FM5445,2019-04-27,72
FM5812,2019-08-02,62
FM4636,2018-06-22,66
FM3147,2019-03-04,84
FM1273,2016-11-01,91
FM4243,2016-08-11,48
FM2357,2017-01-13,71
FM1776,2019-02-03,79
FM5643,2017-12-02,104
FM4522,2019-12-06,82
FM2418,2019-11-01,51
FM1330,2019-08-21,41
FM1195,2019-09-29,83
FM4306,2019-12-07,54
FM2137,2018-06-29,73
FM3518,2018-03-19,54
FM5835,2016-06-18,52
FM4701,2019-10-15,95
FM4548,2017-03-28,38
FM2384,2017-07-15,35
FM4081,2017-11-17,74
FM5976,2016-10-02,99
FM3874,2016-06-08,44
FM5356,2019-03-17,105
FM4667,2019-06-17,66
FM4328,2017-03-04,56
FM3291,2018-05-02,42
FM4282,2016-06-11,44
FM4331,2016-06-25,70
FM1243,2017-12-17,36
FM2390,2019-02-20,104
FM2207,2019-01-05,71
FM1270,2016-08-18,104
FM1219,2019-08-11,91
FM5427,2017-08-13,96
FM5474,2016-02-18,69
FM5109,2017-02-23,92
FM5287,2019-12-14,94
FM3477,2018-02-05,80
FM3970,2016-09-13,86
FM5760,2016-09-08,59
FM2149,2018-01-04,83
FM4934,2019-04-19,80
FM1517,2018-07-18,89
FM1641,2017-09-29,64
FM2187,2016-08-19,70
FM5359,2019-05-12,96
FM3124,2016-09-08,71
FM1721,2017-05-28,96
FM5212,2019-10-22,42
