Context,Text Response
What is the best temperature to brew coffee?,"According to chemical studies, the optimal water temperature for drip coffee is 95-98C. According to my notes, colder water doesn't extract enough caffeine/essential oils from the beans, and above such temperature the acidity increases wildly."
Quality of coffee,"The quality of a brew depends on the following factors (in no particular order):
Time since grinding the beans.
Time since roasting.
Cleanliness with brewing equipment.
Bean quality (what crop, etc.).
Water quality.
"
What is the difference between arabica and robusta?,"Arabica beans and robusta beans are two different species of coffee. They are the primary species of coffee that find their way into the American cup. The general differences are those of taste, and the conditions under which the two species differ in production."
Just how much ground coffee do I need for x amount of coffee?,a. Whatever seems right to you. b. It may change slightly from coffee to coffee and according to freshness.
"What are the different between Preparation Methods
","Drip
French Press
Espresso
Percolator"
Effects of too much coffee,"Coffee is addictive Caffeine is a mildly addictive substance and people who stop its consumption experience some withdrawal effects. Coffee withdrawal can result in serious headaches that can last up to a week.
Coffee Abuse is dangerous Too much caffeine can produce restlessness, nausea, headache, tense muscles and sleep problems.
Coffee may aggravate ulcer problems and cause heartburns.
Sleep Problems Coffee and Skin Problems Caffeine and Calcium Absorption Coffee and Drugs Caffeinism"
Varieties of Coffee ,"The coffee type and roast are extremely important for the final product in our cups.
The most common types of coffee are arabica and robusta.
Arabica is the most commonly used type of coffee with more than 80% of the total coffee production.
Robusta is the second most used coffee variety and it is well known for its resistance to pests and cheaper production price.
Other less popular varieties of coffee include coffee Liberica, Cameroonian coffee, Congo coffee, Sierra Leonean coffee, and Bengal coffee.
"
What do you mean by coffee roast?,Coffee roasting is one of the most important steps in coffee production. The roasting is changing the chemical properties of the beans so they have the proper taste and aroma. Without roasting the coffee is bland without any flavor and taste. Various degrees of roasting permit the obtaining of different tastes and flavors. Some people prefer to buy green coffee and roast it at home for a better control of the taste and maximum freshness. The green beans are more stable than the roasted ones so the coffee won’t lose aroma.
What are the different roast degrees ,"Light roast: – Cinnamon Roast, New England Roast
Medium roast: – American Roast, City Roast, Full City Roast
Full roast: – Vienna Roast
Double roast: – French Roast, Italian Roast, Spanish or Turkish Roast, (Italian roast is my current favorite), and Spanish roast, is the darkest coffee roast possible.
"
How much caffeine is in a cup of coffee?,"Caffeine content in different types of coffee can vary. A standard cup of coffee (around 8oz) will contain an average of 94.8mg of caffeine. An Espresso on the other hand will have an average of 63mg of caffeine, and a standard latte will contain an average of 77mg of caffeine. The caffeine content depends on the size, strength and type of coffee you are consuming. "
